machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
expanse-epyc7742	gmp	8_min	19	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	1	0.72	0.713209	52	pdOPT	-5.3812637297885203e-01	4.9	ok	0
expanse-epyc7742	gmp	8_min	19	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	2	0.72	0.715741	52	pdOPT	-5.3812637297885203e-01	4.9	ok	0
expanse-epyc7742	gmp	8_min	19	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	3	0.71	0.712381	52	pdOPT	-5.3812637297885203e-01	4.9	ok	0
expanse-epyc7742	gmp	8_min	19	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	1	0.61	0.604429	52	pdOPT	-5.3812637297885203e-01	4.8	ok	0
expanse-epyc7742	gmp	8_min	19	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	2	0.6	0.602092	52	pdOPT	-5.3812637297885203e-01	4.8	ok	0
expanse-epyc7742	gmp	8_min	19	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	3	0.6	0.602081	52	pdOPT	-5.3812637297885203e-01	4.8	ok	0
expanse-epyc7742	gmp	10_min	74	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	1	9.92	9.782417	61	pdOPT	-4.7926054387208136e-01	15.4	ok	0
expanse-epyc7742	gmp	10_min	74	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	2	9.93	9.792375	61	pdOPT	-4.7926054387208136e-01	15.4	ok	0
expanse-epyc7742	gmp	10_min	74	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	3	9.95	9.804678	61	pdOPT	-4.7926054387208136e-01	15.4	ok	0
expanse-epyc7742	gmp	10_min	74	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	1	20.28	20.170124	61	pdOPT	-4.7926054387208136e-01	11.9	ok	0
expanse-epyc7742	gmp	10_min	74	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	2	20.25	20.148199	61	pdOPT	-4.7926054387208136e-01	11.9	ok	0
expanse-epyc7742	gmp	10_min	74	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	3	20.22	20.114269	61	pdOPT	-4.7926054387208136e-01	11.9	ok	0
