machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
expanse-epyc7742	gmp	control1	21	fork_t4	4	0,1,2,3	33f968827a10dca7	1	0.22	0.216774	46	pdOPT	1.7784626717523405e+01	4.2	ok	0
expanse-epyc7742	gmp	control1	21	fork_t4	4	0,1,2,3	33f968827a10dca7	2	0.22	0.216127	46	pdOPT	1.7784626717523405e+01	4.2	ok	0
expanse-epyc7742	gmp	control1	21	fork_t4	4	0,1,2,3	33f968827a10dca7	3	0.22	0.216409	46	pdOPT	1.7784626717523405e+01	4.2	ok	0
expanse-epyc7742	gmp	control1	21	up_t4	4	0,1,2,3	33f968827a10dca7	1	0.18	0.177037	46	pdOPT	1.7784626717523405e+01	4.0	ok	0
expanse-epyc7742	gmp	control1	21	up_t4	4	0,1,2,3	33f968827a10dca7	2	0.18	0.176432	46	pdOPT	1.7784626717523405e+01	4.0	ok	0
expanse-epyc7742	gmp	control1	21	up_t4	4	0,1,2,3	33f968827a10dca7	3	0.18	0.178068	46	pdOPT	1.7784626717523405e+01	4.0	ok	0
expanse-epyc7742	gmp	theta1	104	fork_t4	4	0,1,2,3	33f968827a10dca7	1	1.87	1.859568	43	pdOPT	2.3000000000000000e+01	9.1	ok	0
expanse-epyc7742	gmp	theta1	104	fork_t4	4	0,1,2,3	33f968827a10dca7	2	1.87	1.862458	43	pdOPT	2.3000000000000000e+01	9.1	ok	0
expanse-epyc7742	gmp	theta1	104	fork_t4	4	0,1,2,3	33f968827a10dca7	3	1.86	1.854366	43	pdOPT	2.3000000000000000e+01	9.1	ok	0
expanse-epyc7742	gmp	theta1	104	up_t4	4	0,1,2,3	33f968827a10dca7	1	2.49	2.477264	43	pdOPT	2.3000000000000000e+01	7.7	ok	0
expanse-epyc7742	gmp	theta1	104	up_t4	4	0,1,2,3	33f968827a10dca7	2	2.51	2.497608	43	pdOPT	2.3000000000000000e+01	7.7	ok	0
expanse-epyc7742	gmp	theta1	104	up_t4	4	0,1,2,3	33f968827a10dca7	3	2.49	2.482179	43	pdOPT	2.3000000000000000e+01	7.7	ok	0
expanse-epyc7742	gmp	gpp100	101	fork_t4	4	0,1,2,3	33f968827a10dca7	1	14.35	14.318128	61	pFEAS	-4.4943550775891146e+01	15.9	partial	3
expanse-epyc7742	gmp	gpp100	101	fork_t4	4	0,1,2,3	33f968827a10dca7	2	14.35	14.317066	61	pFEAS	-4.4943550775891146e+01	15.9	partial	3
expanse-epyc7742	gmp	gpp100	101	fork_t4	4	0,1,2,3	33f968827a10dca7	3	14.3	14.264695	61	pFEAS	-4.4943550775891146e+01	15.9	partial	3
expanse-epyc7742	gmp	gpp100	101	up_t4	4	0,1,2,3	33f968827a10dca7	1	18.15	18.109101	61	pFEAS	-4.4943550775891146e+01	16.6	ok	0
expanse-epyc7742	gmp	gpp100	101	up_t4	4	0,1,2,3	33f968827a10dca7	2	17.97	17.932240	61	pFEAS	-4.4943550775891146e+01	16.6	ok	0
expanse-epyc7742	gmp	gpp100	101	up_t4	4	0,1,2,3	33f968827a10dca7	3	18.11	18.068154	61	pFEAS	-4.4943550775891146e+01	16.6	ok	0
expanse-epyc7742	gmp	truss5	208	fork_t4	4	0,1,2,3	33f968827a10dca7	1	8.06	8.030251	48	pdOPT	-1.3263567797250604e+02	12.1	ok	0
expanse-epyc7742	gmp	truss5	208	fork_t4	4	0,1,2,3	33f968827a10dca7	2	8.06	8.032466	48	pdOPT	-1.3263567797250604e+02	12.1	ok	0
expanse-epyc7742	gmp	truss5	208	fork_t4	4	0,1,2,3	33f968827a10dca7	3	8	7.980375	48	pdOPT	-1.3263567797250604e+02	11.8	ok	0
expanse-epyc7742	gmp	truss5	208	up_t4	4	0,1,2,3	33f968827a10dca7	1	11.87	11.840908	48	pdOPT	-1.3263567797250604e+02	12.2	ok	0
expanse-epyc7742	gmp	truss5	208	up_t4	4	0,1,2,3	33f968827a10dca7	2	11.86	11.837388	48	pdOPT	-1.3263567797250604e+02	12.2	ok	0
expanse-epyc7742	gmp	truss5	208	up_t4	4	0,1,2,3	33f968827a10dca7	3	11.86	11.835217	48	pdOPT	-1.3263567797250604e+02	12.2	ok	0
expanse-epyc7742	gmp	arch0	174	fork_t4	4	0,1,2,3	33f968827a10dca7	1	44.76	44.695212	53	pdOPT	5.6651727321592959e-01	33.4	ok	0
expanse-epyc7742	gmp	arch0	174	fork_t4	4	0,1,2,3	33f968827a10dca7	2	44.72	44.648119	53	pdOPT	5.6651727321592959e-01	33.4	ok	0
expanse-epyc7742	gmp	arch0	174	fork_t4	4	0,1,2,3	33f968827a10dca7	3	44.72	44.651434	53	pdOPT	5.6651727321592959e-01	33.4	ok	0
expanse-epyc7742	gmp	arch0	174	up_t4	4	0,1,2,3	33f968827a10dca7	1	100.83	100.756606	53	pdOPT	5.6651727321592959e-01	35.4	ok	0
expanse-epyc7742	gmp	arch0	174	up_t4	4	0,1,2,3	33f968827a10dca7	2	101.32	101.247182	53	pdOPT	5.6651727321592959e-01	35.4	ok	0
expanse-epyc7742	gmp	arch0	174	up_t4	4	0,1,2,3	33f968827a10dca7	3	100.9	100.828063	53	pdOPT	5.6651727321592959e-01	35.4	ok	0
