machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc	src
mac-m1max	gmp	12_min	330	fork_t1	1	-	e3e82d8dfcd9b7c3	1	2907.57	2894.830441	78	pdOPT	-4.7236425487823241e-01	116.1	ok	0	out_heavy/rows_H_12_min_t1.tsv
mac-m1max	gmp	12_min	330	fork_t2	2	-	e3e82d8dfcd9b7c3	1	1510.92	1497.810399	78	pdOPT	-4.7236425487823241e-01	118.1	ok	0	out_heavy/rows_H_12_min_t2.tsv
mac-m1max	gmp	12_min	330	fork_t4	4	-	e3e82d8dfcd9b7c3	1	812.13	799.015401	78	pdOPT	-4.7236425487823241e-01	122.8	ok	0	out_heavy/rows_H_12_min_t4.tsv
mac-m1max	gmp	12_min	330	fork_t8	8	-	e3e82d8dfcd9b7c3	1	583.94	570.878769	78	pdOPT	-4.7236425487823241e-01	131.1	ok	0	out_heavy/rows_H_12_min_t8.tsv
mac-m1max	gmp	dE3	6067	fork_t1	1	-	3859004693f5546f	1	4405.56	4404.561531	33	pdOPT	5.3367937294869112e-01	659.0	ok	0	out_heavy/rows_H_dE3_t1.tsv
mac-m1max	gmp	dE3	6067	fork_t2	2	-	3859004693f5546f	1	2212.52	2211.523788	33	pdOPT	5.3367937294869112e-01	659.2	ok	0	out_heavy/rows_H_dE3_t2.tsv
mac-m1max	gmp	dE3	6067	fork_t4	4	-	3859004693f5546f	1	1170.19	1169.196577	33	pdOPT	5.3367937294869112e-01	661.3	ok	0	out_heavy/rows_H_dE3_t4.tsv
mac-m1max	gmp	dE3	6067	fork_t8	8	-	3859004693f5546f	1	883.94	882.949515	33	pdOPT	5.3367937294869112e-01	662.1	ok	0	out_heavy/rows_H_dE3_t8.tsv
mac-m1max	gmp	dE4	7401	fork_t1	1	-	3859004693f5546f	1	6710.08	6708.869412	33	pdOPT	5.3347386976202051e-01	913.6	ok	0	out_heavy/rows_H_dE4_t1.tsv
mac-m1max	gmp	dE4	7401	fork_t2	2	-	3859004693f5546f	1	3455.16	3453.997002	33	pdOPT	5.3347386976202051e-01	914.0	ok	0	out_heavy/rows_H_dE4_t2.tsv
mac-m1max	gmp	dE4	7401	fork_t4	4	-	3859004693f5546f	1	1813.27	1812.104526	33	pdOPT	5.3347386976202051e-01	916.0	ok	0	out_heavy/rows_H_dE4_t4.tsv
mac-m1max	gmp	dE4	7401	fork_t8	8	-	3859004693f5546f	1	1344.72	1343.560939	33	pdOPT	5.3347386976202051e-01	918.5	ok	0	out_heavy/rows_H_dE4_t8.tsv
