machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc	src
pi-i9-13900k	gmp	12_min	330	fork_t1	1	0	e3e82d8dfcd9b7c3	1	1652.8	1649.178976	78	pdOPT	-4.7236425487823241e-01	125.8	ok	0	out_heavy/rows_H_12_min_t1.tsv
pi-i9-13900k	gmp	12_min	330	fork_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	e3e82d8dfcd9b7c3	1	225.26	221.613883	78	pdOPT	-4.7236425487823241e-01	149.9	ok	0	out_heavy/rows_H_12_min_t16.tsv
pi-i9-13900k	gmp	12_min	330	fork_t2	2	0,2	e3e82d8dfcd9b7c3	1	855.53	851.891242	78	pdOPT	-4.7236425487823241e-01	127.4	ok	0	out_heavy/rows_H_12_min_t2.tsv
pi-i9-13900k	gmp	12_min	330	fork_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	1	183.08	179.444805	78	pdOPT	-4.7236425487823241e-01	162.5	ok	0	out_heavy/rows_H_12_min_t24.tsv
pi-i9-13900k	gmp	12_min	330	fork_t4	4	0,2,4,6	e3e82d8dfcd9b7c3	1	495.67	492.027527	78	pdOPT	-4.7236425487823241e-01	130.5	ok	0	out_heavy/rows_H_12_min_t4.tsv
pi-i9-13900k	gmp	12_min	330	fork_t8	8	0,2,4,6,8,10,12,14	e3e82d8dfcd9b7c3	1	294.8	291.163896	78	pdOPT	-4.7236425487823241e-01	136.7	ok	0	out_heavy/rows_H_12_min_t8.tsv
pi-i9-13900k	gmp	dE3	6067	fork_t1	1	0	3859004693f5546f	1	2504.81	2504.136924	33	pdOPT	5.3367937294869112e-01	628.6	ok	0	out_heavy/rows_H_dE3_t1.tsv
pi-i9-13900k	gmp	dE3	6067	fork_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	3859004693f5546f	1	289.59	288.898271	33	pdOPT	5.3367937294869112e-01	632.6	ok	0	out_heavy/rows_H_dE3_t16.tsv
pi-i9-13900k	gmp	dE3	6067	fork_t2	2	0,2	3859004693f5546f	1	1265.43	1264.743176	33	pdOPT	5.3367937294869112e-01	628.8	ok	0	out_heavy/rows_H_dE3_t2.tsv
pi-i9-13900k	gmp	dE3	6067	fork_t24	24	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	3859004693f5546f	1	229.86	229.165979	33	pdOPT	5.3367937294869112e-01	636.5	ok	0	out_heavy/rows_H_dE3_t24.tsv
pi-i9-13900k	gmp	dE3	6067	fork_t4	4	0,2,4,6	3859004693f5546f	1	716.4	715.720342	33	pdOPT	5.3367937294869112e-01	629.3	ok	0	out_heavy/rows_H_dE3_t4.tsv
pi-i9-13900k	gmp	dE3	6067	fork_t8	8	0,2,4,6,8,10,12,14	3859004693f5546f	1	408.94	408.254308	33	pdOPT	5.3367937294869112e-01	630.3	ok	0	out_heavy/rows_H_dE3_t8.tsv
pi-i9-13900k	gmp	dE4	7401	fork_t1	1	0	3859004693f5546f	1	3908	3907.695501	33	pdOPT	5.3347386976202051e-01	869.2	ok	0	out_heavy/rows_H_dE4_t1.tsv
pi-i9-13900k	gmp	dE4	7401	fork_t16	16	0,2,4,6,8,10,12,14,16,17,18,19,20,21,22,23	3859004693f5546f	1	441.69	440.802379	33	pdOPT	5.3347386976202051e-01	873.3	ok	0	out_heavy/rows_H_dE4_t16.tsv
pi-i9-13900k	gmp	dE4	7401	fork_t2	2	0,2	3859004693f5546f	1	1972.79	1971.906328	33	pdOPT	5.3347386976202051e-01	869.5	ok	0	out_heavy/rows_H_dE4_t2.tsv
