machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc	src
symmetry-xeon6148	gmp	12_min	330	fork_t1	1	0	e3e82d8dfcd9b7c3	1	3591.03	3582.429085	78	pdOPT	-4.7236425487823241e-01	125.9	ok	0	out_heavy/rows_H_12_min_t1.tsv
symmetry-xeon6148	gmp	12_min	330	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	1	361.96	353.255214	78	pdOPT	-4.7236425487823241e-01	151.3	ok	0	out_heavy/rows_H_12_min_t16.tsv
symmetry-xeon6148	gmp	12_min	330	fork_t2	2	0,1	e3e82d8dfcd9b7c3	1	1866.91	1858.232033	78	pdOPT	-4.7236425487823241e-01	127.6	ok	0	out_heavy/rows_H_12_min_t2.tsv
symmetry-xeon6148	gmp	12_min	330	fork_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	e3e82d8dfcd9b7c3	1	266.54	257.861391	78	pdOPT	-4.7236425487823241e-01	178.1	ok	0	out_heavy/rows_H_12_min_t32.tsv
symmetry-xeon6148	gmp	12_min	330	fork_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	1	1006.86	998.194165	78	pdOPT	-4.7236425487823241e-01	131.0	ok	0	out_heavy/rows_H_12_min_t4.tsv
symmetry-xeon6148	gmp	12_min	330	fork_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	e3e82d8dfcd9b7c3	1	246.09	237.345199	78	pdOPT	-4.7236425487823241e-01	191.5	ok	0	out_heavy/rows_H_12_min_t40.tsv
symmetry-xeon6148	gmp	12_min	330	fork_t8	8	0,1,2,3,4,5,6,7	e3e82d8dfcd9b7c3	1	589.12	580.315535	78	pdOPT	-4.7236425487823241e-01	137.7	ok	0	out_heavy/rows_H_12_min_t8.tsv
symmetry-xeon6148	gmp	dE3	6067	fork_t1	1	0	3859004693f5546f	1	5392	5390.747905	33	pdOPT	5.3367937294869112e-01	628.9	ok	0	out_heavy/rows_H_dE3_t1.tsv
symmetry-xeon6148	gmp	dE3	6067	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	3859004693f5546f	1	445.9	444.263018	33	pdOPT	5.3367937294869112e-01	635.2	ok	0	out_heavy/rows_H_dE3_t16.tsv
symmetry-xeon6148	gmp	dE3	6067	fork_t2	2	0,1	3859004693f5546f	1	2836.63	2835.013603	33	pdOPT	5.3367937294869112e-01	629.3	ok	0	out_heavy/rows_H_dE3_t2.tsv
symmetry-xeon6148	gmp	dE3	6067	fork_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	3859004693f5546f	1	303.84	302.166664	33	pdOPT	5.3367937294869112e-01	641.7	ok	0	out_heavy/rows_H_dE3_t32.tsv
symmetry-xeon6148	gmp	dE3	6067	fork_t4	4	0,1,2,3	3859004693f5546f	1	1464.93	1463.288812	33	pdOPT	5.3367937294869112e-01	630.1	ok	0	out_heavy/rows_H_dE3_t4.tsv
symmetry-xeon6148	gmp	dE3	6067	fork_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	3859004693f5546f	1	281.2	279.555475	33	pdOPT	5.3367937294869112e-01	645.0	ok	0	out_heavy/rows_H_dE3_t40.tsv
symmetry-xeon6148	gmp	dE3	6067	fork_t8	8	0,1,2,3,4,5,6,7	3859004693f5546f	1	799.5	797.795932	33	pdOPT	5.3367937294869112e-01	631.8	ok	0	out_heavy/rows_H_dE3_t8.tsv
symmetry-xeon6148	gmp	dE4	7401	fork_t1	1	0	3859004693f5546f	1	8441	8439.746531	33	pdOPT	5.3347386976202051e-01	869.4	ok	0	out_heavy/rows_H_dE4_t1.tsv
symmetry-xeon6148	gmp	dE4	7401	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	3859004693f5546f	1	673.64	671.356693	33	pdOPT	5.3347386976202051e-01	876.6	ok	0	out_heavy/rows_H_dE4_t16.tsv
symmetry-xeon6148	gmp	dE4	7401	fork_t2	2	0,1	3859004693f5546f	1	4396	4394.785721	33	pdOPT	5.3347386976202051e-01	870.1	ok	0	out_heavy/rows_H_dE4_t2.tsv
symmetry-xeon6148	gmp	dE4	7401	fork_t32	32	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	3859004693f5546f	1	458.4	456.297742	33	pdOPT	5.3347386976202051e-01	884.0	ok	0	out_heavy/rows_H_dE4_t32.tsv
symmetry-xeon6148	gmp	dE4	7401	fork_t4	4	0,1,2,3	3859004693f5546f	1	2260.93	2258.646598	33	pdOPT	5.3347386976202051e-01	870.9	ok	0	out_heavy/rows_H_dE4_t4.tsv
symmetry-xeon6148	gmp	dE4	7401	fork_t40	40	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	3859004693f5546f	1	412.31	410.184453	33	pdOPT	5.3347386976202051e-01	887.8	ok	0	out_heavy/rows_H_dE4_t40.tsv
symmetry-xeon6148	gmp	dE4	7401	fork_t8	8	0,1,2,3,4,5,6,7	3859004693f5546f	1	1226.6	1224.355130	33	pdOPT	5.3347386976202051e-01	872.8	ok	0	out_heavy/rows_H_dE4_t8.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t1	1	0	e3e82d8dfcd9b7c3	1	0.74	0.719746	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t1	1	0	e3e82d8dfcd9b7c3	2	0.74	0.717354	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t1	1	0	e3e82d8dfcd9b7c3	3	0.73	0.717715	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	8_min	19	up_t1	1	0	e3e82d8dfcd9b7c3	1	0.76	0.746602	52	pdOPT	-5.3812637297885203e-01	6.2	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	8_min	19	up_t1	1	0	e3e82d8dfcd9b7c3	2	0.78	0.764143	52	pdOPT	-5.3812637297885203e-01	6.2	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	8_min	19	up_t1	1	0	e3e82d8dfcd9b7c3	3	0.78	0.763097	52	pdOPT	-5.3812637297885203e-01	6.2	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t1	1	0	e3e82d8dfcd9b7c3	1	33.01	32.843861	61	pdOPT	-4.7926054387208136e-01	13.1	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t1	1	0	e3e82d8dfcd9b7c3	2	33.01	32.847557	61	pdOPT	-4.7926054387208136e-01	13.1	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	10_min	74	fork_t1	1	0	e3e82d8dfcd9b7c3	3	33.07	32.907107	61	pdOPT	-4.7926054387208136e-01	13.1	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	10_min	74	up_t1	1	0	e3e82d8dfcd9b7c3	1	35.48	35.350908	61	pdOPT	-4.7926054387208136e-01	13.2	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	10_min	74	up_t1	1	0	e3e82d8dfcd9b7c3	2	35.48	35.360675	61	pdOPT	-4.7926054387208136e-01	13.2	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	10_min	74	up_t1	1	0	e3e82d8dfcd9b7c3	3	35.53	35.397830	61	pdOPT	-4.7926054387208136e-01	13.2	ok	0	out_main/rows_Amin_t1.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	1	0.8	0.780985	52	pdOPT	-5.3812637297885203e-01	6.6	ok	0	out_main/rows_Amin_t16.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	2	0.81	0.782591	52	pdOPT	-5.3812637297885203e-01	6.6	ok	0	out_main/rows_Amin_t16.tsv
symmetry-xeon6148	gmp	8_min	19	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	3	0.8	0.782694	52	pdOPT	-5.3812637297885203e-01	6.6	ok	0	out_main/rows_Amin_t16.tsv
symmetry-xeon6148	gmp	8_min	19	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	1	0.75	0.731257	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0	out_main/rows_Amin_t16.tsv
symmetry-xeon6148	gmp	8_min	19	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	2	0.75	0.730834	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0	out_main/rows_Amin_t16.tsv
symmetry-xeon6148	gmp	8_min	19	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	e3e82d8dfcd9b7c3	3	0.75	0.731964	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0	out_main/rows_Amin_t16.tsv
