machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc	src
thanos-epyc7232p	gmp	12_min	330	fork_t1	1	0	e3e82d8dfcd9b7c3	1	3986.35	3976.911443	78	pdOPT	-4.7236425487823241e-01	125.7	ok	0	out_heavy/rows_H_12_min_t1.tsv
thanos-epyc7232p	gmp	12_min	330	fork_t2	2	0,1	e3e82d8dfcd9b7c3	1	2108.10	2098.880469	78	pdOPT	-4.7236425487823241e-01	127.2	ok	0	out_heavy/rows_H_12_min_t2.tsv
thanos-epyc7232p	gmp	12_min	330	fork_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	1	1143.81	1134.593105	78	pdOPT	-4.7236425487823241e-01	131.1	ok	0	out_heavy/rows_H_12_min_t4.tsv
thanos-epyc7232p	gmp	12_min	330	fork_t8	8	0,1,2,3,4,5,6,7	e3e82d8dfcd9b7c3	1	684.97	675.790297	78	pdOPT	-4.7236425487823241e-01	135.9	ok	0	out_heavy/rows_H_12_min_t8.tsv
thanos-epyc7232p	gmp	dE3	6067	fork_t1	1	0	3859004693f5546f	1	5454.02	5452.442248	33	pdOPT	5.3367937294869112e-01	628.1	ok	0	out_heavy/rows_H_dE3_t1.tsv
thanos-epyc7232p	gmp	dE3	6067	fork_t2	2	0,1	3859004693f5546f	1	2841.33	2839.751737	33	pdOPT	5.3367937294869112e-01	628.8	ok	0	out_heavy/rows_H_dE3_t2.tsv
thanos-epyc7232p	gmp	dE3	6067	fork_t4	4	0,1,2,3	3859004693f5546f	1	1477.79	1476.240798	33	pdOPT	5.3367937294869112e-01	629.0	ok	0	out_heavy/rows_H_dE3_t4.tsv
thanos-epyc7232p	gmp	dE3	6067	fork_t8	8	0,1,2,3,4,5,6,7	3859004693f5546f	1	806.96	804.718348	33	pdOPT	5.3367937294869112e-01	630.0	ok	0	out_heavy/rows_H_dE3_t8.tsv
thanos-epyc7232p	gmp	dE4	7401	fork_t1	1	0	3859004693f5546f	1	8439.84	8437.944489	33	pdOPT	5.3347386976202051e-01	869.0	ok	0	out_heavy/rows_H_dE4_t1.tsv
thanos-epyc7232p	gmp	dE4	7401	fork_t2	2	0,1	3859004693f5546f	1	4327.84	4325.839893	33	pdOPT	5.3347386976202051e-01	869.1	ok	0	out_heavy/rows_H_dE4_t2.tsv
thanos-epyc7232p	gmp	dE4	7401	fork_t4	4	0,1,2,3	3859004693f5546f	1	2252.36	2250.381136	33	pdOPT	5.3347386976202051e-01	869.5	ok	0	out_heavy/rows_H_dE4_t4.tsv
thanos-epyc7232p	gmp	dE4	7401	fork_t8	8	0,1,2,3,4,5,6,7	3859004693f5546f	1	1214.15	1212.160345	33	pdOPT	5.3347386976202051e-01	870.7	ok	0	out_heavy/rows_H_dE4_t8.tsv
thanos-epyc7232p	gmp	8_min	19	fork_t1	1	0	e3e82d8dfcd9b7c3	1	0.75	0.744252	52	pdOPT	-5.3812637297885203e-01	11.7	ok	0	out_main/rows_Amin_t1.tsv
thanos-epyc7232p	gmp	8_min	19	fork_t1	1	0	e3e82d8dfcd9b7c3	2	0.75	0.745404	52	pdOPT	-5.3812637297885203e-01	11.7	ok	0	out_main/rows_Amin_t1.tsv
thanos-epyc7232p	gmp	8_min	19	fork_t1	1	0	e3e82d8dfcd9b7c3	3	0.76	0.748684	52	pdOPT	-5.3812637297885203e-01	11.7	ok	0	out_main/rows_Amin_t1.tsv
thanos-epyc7232p	gmp	8_min	19	up_t1	1	0	e3e82d8dfcd9b7c3	1	0.81	0.802671	52	pdOPT	-5.3812637297885203e-01	11.7	ok	0	out_main/rows_Amin_t1.tsv
thanos-epyc7232p	gmp	8_min	19	up_t1	1	0	e3e82d8dfcd9b7c3	2	0.81	0.800901	52	pdOPT	-5.3812637297885203e-01	11.5	ok	0	out_main/rows_Amin_t1.tsv
thanos-epyc7232p	gmp	8_min	19	up_t1	1	0	e3e82d8dfcd9b7c3	3	0.81	0.800945	52	pdOPT	-5.3812637297885203e-01	11.6	ok	0	out_main/rows_Amin_t1.tsv
thanos-epyc7232p	gmp	10_min	74	fork_t1	1	0	e3e82d8dfcd9b7c3	1	35.82	35.659093	61	pdOPT	-4.7926054387208136e-01	12.7	ok	0	out_main/rows_Amin_t1.tsv
thanos-epyc7232p	gmp	10_min	74	fork_t1	1	0	e3e82d8dfcd9b7c3	2	35.72	35.557090	61	pdOPT	-4.7926054387208136e-01	12.4	ok	0	out_main/rows_Amin_t1.tsv
thanos-epyc7232p	gmp	10_min	74	fork_t1	1	0	e3e82d8dfcd9b7c3	3	35.82	35.657586	61	pdOPT	-4.7926054387208136e-01	12.7	ok	0	out_main/rows_Amin_t1.tsv
thanos-epyc7232p	gmp	10_min	74	up_t1	1	0	e3e82d8dfcd9b7c3	1	39.13	39.007673	61	pdOPT	-4.7926054387208136e-01	12.6	ok	0	out_main/rows_Amin_t1.tsv
thanos-epyc7232p	gmp	10_min	74	up_t1	1	0	e3e82d8dfcd9b7c3	2	38.87	38.743438	61	pdOPT	-4.7926054387208136e-01	12.6	ok	0	out_main/rows_Amin_t1.tsv
thanos-epyc7232p	gmp	10_min	74	up_t1	1	0	e3e82d8dfcd9b7c3	3	38.94	38.808938	61	pdOPT	-4.7926054387208136e-01	12.8	ok	0	out_main/rows_Amin_t1.tsv
thanos-epyc7232p	gmp	8_min	19	up_t2	2	0,1	e3e82d8dfcd9b7c3	1	0.70	0.687706	52	pdOPT	-5.3812637297885203e-01	11.6	ok	0	out_main/rows_Amin_t2.tsv
thanos-epyc7232p	gmp	8_min	19	up_t2	2	0,1	e3e82d8dfcd9b7c3	2	0.70	0.691303	52	pdOPT	-5.3812637297885203e-01	11.6	ok	0	out_main/rows_Amin_t2.tsv
thanos-epyc7232p	gmp	8_min	19	up_t2	2	0,1	e3e82d8dfcd9b7c3	3	0.70	0.688628	52	pdOPT	-5.3812637297885203e-01	11.8	ok	0	out_main/rows_Amin_t2.tsv
thanos-epyc7232p	gmp	8_min	19	fork_t2	2	0,1	e3e82d8dfcd9b7c3	1	0.76	0.748682	52	pdOPT	-5.3812637297885203e-01	11.7	ok	0	out_main/rows_Amin_t2.tsv
thanos-epyc7232p	gmp	8_min	19	fork_t2	2	0,1	e3e82d8dfcd9b7c3	2	0.76	0.748179	52	pdOPT	-5.3812637297885203e-01	11.6	ok	0	out_main/rows_Amin_t2.tsv
thanos-epyc7232p	gmp	8_min	19	fork_t2	2	0,1	e3e82d8dfcd9b7c3	3	0.76	0.747522	52	pdOPT	-5.3812637297885203e-01	11.6	ok	0	out_main/rows_Amin_t2.tsv
thanos-epyc7232p	gmp	10_min	74	up_t2	2	0,1	e3e82d8dfcd9b7c3	1	29.84	29.708682	61	pdOPT	-4.7926054387208136e-01	12.8	ok	0	out_main/rows_Amin_t2.tsv
thanos-epyc7232p	gmp	10_min	74	up_t2	2	0,1	e3e82d8dfcd9b7c3	2	29.85	29.718316	61	pdOPT	-4.7926054387208136e-01	12.9	ok	0	out_main/rows_Amin_t2.tsv
