machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
mac-m1max	gmp	control1	21	up_t2	2	-	33f968827a10dca7	1	0.21	0.201041	46	pdOPT	1.7784626717523405e+01	8.7	ok	0
mac-m1max	gmp	control1	21	up_t2	2	-	33f968827a10dca7	2	0.21	0.197308	46	pdOPT	1.7784626717523405e+01	8.7	ok	0
mac-m1max	gmp	control1	21	up_t2	2	-	33f968827a10dca7	3	0.21	0.198016	46	pdOPT	1.7784626717523405e+01	8.7	ok	0
mac-m1max	gmp	control1	21	fork_t2	2	-	33f968827a10dca7	1	0.18	0.163519	46	pdOPT	1.7784626717523405e+01	8.7	ok	0
mac-m1max	gmp	control1	21	fork_t2	2	-	33f968827a10dca7	2	0.17	0.161893	46	pdOPT	1.7784626717523405e+01	8.7	ok	0
mac-m1max	gmp	control1	21	fork_t2	2	-	33f968827a10dca7	3	0.18	0.163764	46	pdOPT	1.7784626717523405e+01	8.7	ok	0
mac-m1max	gmp	theta1	104	up_t2	2	-	33f968827a10dca7	1	2.42	2.398822	43	pdOPT	2.3000000000000000e+01	8.7	ok	0
mac-m1max	gmp	theta1	104	up_t2	2	-	33f968827a10dca7	2	2.43	2.408864	43	pdOPT	2.3000000000000000e+01	8.7	ok	0
mac-m1max	gmp	theta1	104	up_t2	2	-	33f968827a10dca7	3	2.43	2.411558	43	pdOPT	2.3000000000000000e+01	8.7	ok	0
mac-m1max	gmp	theta1	104	fork_t2	2	-	33f968827a10dca7	1	1.76	1.744019	43	pdOPT	2.3000000000000000e+01	8.7	ok	0
mac-m1max	gmp	theta1	104	fork_t2	2	-	33f968827a10dca7	2	1.76	1.740823	43	pdOPT	2.3000000000000000e+01	8.7	ok	0
mac-m1max	gmp	theta1	104	fork_t2	2	-	33f968827a10dca7	3	1.76	1.740040	43	pdOPT	2.3000000000000000e+01	8.7	ok	0
mac-m1max	gmp	gpp100	101	up_t2	2	-	33f968827a10dca7	1	22.17	22.127899	61	pFEAS	-4.4943550775891146e+01	14.4	ok	0
mac-m1max	gmp	gpp100	101	up_t2	2	-	33f968827a10dca7	2	22.45	22.413939	61	pFEAS	-4.4943550775891146e+01	14.3	ok	0
mac-m1max	gmp	gpp100	101	up_t2	2	-	33f968827a10dca7	3	22.44	22.400566	61	pFEAS	-4.4943550775891146e+01	14.4	ok	0
mac-m1max	gmp	gpp100	101	fork_t2	2	-	33f968827a10dca7	1	17.71	17.673979	61	pFEAS	-4.4943550775891146e+01	13.8	partial	3
mac-m1max	gmp	gpp100	101	fork_t2	2	-	33f968827a10dca7	2	17.65	17.613156	61	pFEAS	-4.4943550775891146e+01	13.9	partial	3
mac-m1max	gmp	gpp100	101	fork_t2	2	-	33f968827a10dca7	3	17.57	17.530156	61	pFEAS	-4.4943550775891146e+01	13.8	partial	3
mac-m1max	gmp	truss5	208	up_t2	2	-	33f968827a10dca7	1	11.15	11.113735	48	pdOPT	-1.3263567797250604e+02	12.0	ok	0
mac-m1max	gmp	truss5	208	up_t2	2	-	33f968827a10dca7	2	11.07	11.041565	48	pdOPT	-1.3263567797250604e+02	12.0	ok	0
mac-m1max	gmp	truss5	208	up_t2	2	-	33f968827a10dca7	3	11.05	11.020146	48	pdOPT	-1.3263567797250604e+02	12.0	ok	0
mac-m1max	gmp	truss5	208	fork_t2	2	-	33f968827a10dca7	1	7.70	7.667026	48	pdOPT	-1.3263567797250604e+02	12.0	ok	0
mac-m1max	gmp	truss5	208	fork_t2	2	-	33f968827a10dca7	2	7.65	7.614359	48	pdOPT	-1.3263567797250604e+02	12.0	ok	0
mac-m1max	gmp	truss5	208	fork_t2	2	-	33f968827a10dca7	3	7.69	7.657699	48	pdOPT	-1.3263567797250604e+02	12.0	ok	0
mac-m1max	gmp	arch0	174	up_t2	2	-	33f968827a10dca7	1	105.54	105.474880	53	pdOPT	5.6651727321592959e-01	29.5	ok	0
mac-m1max	gmp	arch0	174	up_t2	2	-	33f968827a10dca7	2	105.79	105.721842	53	pdOPT	5.6651727321592959e-01	29.6	ok	0
mac-m1max	gmp	arch0	174	up_t2	2	-	33f968827a10dca7	3	148.30	148.173170	53	pdOPT	5.6651727321592959e-01	29.5	ok	0
mac-m1max	gmp	arch0	174	fork_t2	2	-	33f968827a10dca7	1	62.66	62.593457	53	pdOPT	5.6651727321592959e-01	27.9	ok	0
mac-m1max	gmp	arch0	174	fork_t2	2	-	33f968827a10dca7	2	61.58	61.516930	53	pdOPT	5.6651727321592959e-01	27.9	ok	0
mac-m1max	gmp	arch0	174	fork_t2	2	-	33f968827a10dca7	3	61.62	61.553501	53	pdOPT	5.6651727321592959e-01	27.9	ok	0
