machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
pi-i9-13900k	gmp	control1	21	up_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	1	0.09	0.091756	46	pdOPT	1.7784626717523405e+01	5.3	ok	0
pi-i9-13900k	gmp	control1	21	up_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	2	0.09	0.091850	46	pdOPT	1.7784626717523405e+01	5.3	ok	0
pi-i9-13900k	gmp	control1	21	up_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	3	0.09	0.092244	46	pdOPT	1.7784626717523405e+01	5.2	ok	0
pi-i9-13900k	gmp	control1	21	fork_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	1	0.1	0.100408	46	pdOPT	1.7784626717523405e+01	5.3	ok	0
pi-i9-13900k	gmp	control1	21	fork_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	2	0.1	0.099919	46	pdOPT	1.7784626717523405e+01	5.6	ok	0
pi-i9-13900k	gmp	control1	21	fork_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	3	0.1	0.099512	46	pdOPT	1.7784626717523405e+01	5.6	ok	0
pi-i9-13900k	gmp	theta1	104	up_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	1	1.06	1.056135	43	pdOPT	2.3000000000000000e+01	9.2	ok	0
pi-i9-13900k	gmp	theta1	104	up_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	2	1.06	1.055062	43	pdOPT	2.3000000000000000e+01	9.1	ok	0
pi-i9-13900k	gmp	theta1	104	up_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	3	1.06	1.056289	43	pdOPT	2.3000000000000000e+01	8.9	ok	0
pi-i9-13900k	gmp	theta1	104	fork_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	1	0.72	0.724155	43	pdOPT	2.3000000000000000e+01	9.2	ok	0
pi-i9-13900k	gmp	theta1	104	fork_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	2	0.73	0.725878	43	pdOPT	2.3000000000000000e+01	9.1	ok	0
pi-i9-13900k	gmp	theta1	104	fork_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	3	0.73	0.727623	43	pdOPT	2.3000000000000000e+01	9.1	ok	0
pi-i9-13900k	gmp	gpp100	101	up_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	1	6.46	6.442121	61	pFEAS	-4.4943550775891146e+01	17.4	ok	0
pi-i9-13900k	gmp	gpp100	101	up_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	2	6.42	6.405306	61	pFEAS	-4.4943550775891146e+01	17.6	ok	0
pi-i9-13900k	gmp	gpp100	101	up_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	3	6.42	6.409434	61	pFEAS	-4.4943550775891146e+01	17.5	ok	0
pi-i9-13900k	gmp	gpp100	101	fork_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	1	4.49	4.481851	61	pFEAS	-4.4943550775891146e+01	17.1	partial	3
pi-i9-13900k	gmp	gpp100	101	fork_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	2	4.5	4.488214	61	pFEAS	-4.4943550775891146e+01	17.3	partial	3
pi-i9-13900k	gmp	gpp100	101	fork_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	3	4.5	4.489562	61	pFEAS	-4.4943550775891146e+01	17.0	partial	3
pi-i9-13900k	gmp	truss5	208	up_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	1	5.54	5.526578	48	pdOPT	-1.3263567797250604e+02	13.1	ok	0
pi-i9-13900k	gmp	truss5	208	up_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	2	5.52	5.506627	48	pdOPT	-1.3263567797250604e+02	13.0	ok	0
pi-i9-13900k	gmp	truss5	208	up_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	3	5.52	5.508574	48	pdOPT	-1.3263567797250604e+02	13.3	ok	0
pi-i9-13900k	gmp	truss5	208	fork_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	1	3.36	3.351615	48	pdOPT	-1.3263567797250604e+02	13.1	ok	0
pi-i9-13900k	gmp	truss5	208	fork_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	2	3.33	3.321596	48	pdOPT	-1.3263567797250604e+02	12.9	ok	0
pi-i9-13900k	gmp	truss5	208	fork_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	3	3.33	3.321553	48	pdOPT	-1.3263567797250604e+02	12.9	ok	0
pi-i9-13900k	gmp	arch0	174	up_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	1	43.85	43.816345	53	pdOPT	5.6651727321592959e-01	36.2	ok	0
pi-i9-13900k	gmp	arch0	174	up_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	2	43.86	43.834245	53	pdOPT	5.6651727321592959e-01	36.3	ok	0
pi-i9-13900k	gmp	arch0	174	up_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	3	43.84	43.813071	53	pdOPT	5.6651727321592959e-01	36.6	ok	0
pi-i9-13900k	gmp	arch0	174	fork_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	1	13.41	13.377206	53	pdOPT	5.6651727321592959e-01	34.4	ok	0
pi-i9-13900k	gmp	arch0	174	fork_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	2	13.46	13.431857	53	pdOPT	5.6651727321592959e-01	34.9	ok	0
pi-i9-13900k	gmp	arch0	174	fork_t8	8	0,2,4,6,8,10,12,14	33f968827a10dca7	3	13.47	13.439976	53	pdOPT	5.6651727321592959e-01	34.6	ok	0
