machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
symmetry-xeon6148	gmp	8_min	19	up_t2	2	0,1	e3e82d8dfcd9b7c3	1	0.73	0.711049	52	pdOPT	-5.3812637297885203e-01	6.2	ok	0
symmetry-xeon6148	gmp	8_min	19	up_t2	2	0,1	e3e82d8dfcd9b7c3	2	0.73	0.712437	52	pdOPT	-5.3812637297885203e-01	6.2	ok	0
symmetry-xeon6148	gmp	8_min	19	up_t2	2	0,1	e3e82d8dfcd9b7c3	3	0.74	0.714171	52	pdOPT	-5.3812637297885203e-01	6.2	ok	0
symmetry-xeon6148	gmp	8_min	19	fork_t2	2	0,1	e3e82d8dfcd9b7c3	1	0.74	0.726074	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0
symmetry-xeon6148	gmp	8_min	19	fork_t2	2	0,1	e3e82d8dfcd9b7c3	2	0.75	0.727254	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0
symmetry-xeon6148	gmp	8_min	19	fork_t2	2	0,1	e3e82d8dfcd9b7c3	3	0.74	0.725453	52	pdOPT	-5.3812637297885203e-01	6.4	ok	0
symmetry-xeon6148	gmp	10_min	74	up_t2	2	0,1	e3e82d8dfcd9b7c3	1	27.57	27.451359	61	pdOPT	-4.7926054387208136e-01	13.2	ok	0
symmetry-xeon6148	gmp	10_min	74	up_t2	2	0,1	e3e82d8dfcd9b7c3	2	27.67	27.538644	61	pdOPT	-4.7926054387208136e-01	13.2	ok	0
symmetry-xeon6148	gmp	10_min	74	up_t2	2	0,1	e3e82d8dfcd9b7c3	3	27.58	27.450125	61	pdOPT	-4.7926054387208136e-01	13.2	ok	0
symmetry-xeon6148	gmp	10_min	74	fork_t2	2	0,1	e3e82d8dfcd9b7c3	1	20.87	20.697294	61	pdOPT	-4.7926054387208136e-01	13.4	ok	0
symmetry-xeon6148	gmp	10_min	74	fork_t2	2	0,1	e3e82d8dfcd9b7c3	2	20.88	20.701651	61	pdOPT	-4.7926054387208136e-01	13.4	ok	0
symmetry-xeon6148	gmp	10_min	74	fork_t2	2	0,1	e3e82d8dfcd9b7c3	3	20.96	20.789569	61	pdOPT	-4.7926054387208136e-01	13.4	ok	0
