machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
symmetry-xeon6148	gmp	control1	21	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	33f968827a10dca7	1	0.27	0.256493	46	pdOPT	1.7784626717523405e+01	5.9	ok	0
symmetry-xeon6148	gmp	control1	21	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	33f968827a10dca7	2	0.26	0.242530	46	pdOPT	1.7784626717523405e+01	5.9	ok	0
symmetry-xeon6148	gmp	control1	21	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	33f968827a10dca7	3	0.26	0.240611	46	pdOPT	1.7784626717523405e+01	5.9	ok	0
symmetry-xeon6148	gmp	control1	21	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	33f968827a10dca7	1	0.23	0.213137	46	pdOPT	1.7784626717523405e+01	5.8	ok	0
symmetry-xeon6148	gmp	control1	21	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	33f968827a10dca7	2	0.23	0.213806	46	pdOPT	1.7784626717523405e+01	5.8	ok	0
symmetry-xeon6148	gmp	control1	21	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	33f968827a10dca7	3	0.23	0.216268	46	pdOPT	1.7784626717523405e+01	5.8	ok	0
symmetry-xeon6148	gmp	theta1	104	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	33f968827a10dca7	1	1.73	1.693910	43	pdOPT	2.3000000000000000e+01	15.8	ok	0
symmetry-xeon6148	gmp	theta1	104	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	33f968827a10dca7	2	1.73	1.691638	43	pdOPT	2.3000000000000000e+01	15.8	ok	0
symmetry-xeon6148	gmp	theta1	104	fork_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	33f968827a10dca7	3	1.72	1.692402	43	pdOPT	2.3000000000000000e+01	15.3	ok	0
symmetry-xeon6148	gmp	theta1	104	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	33f968827a10dca7	1	2.53	2.497761	43	pdOPT	2.3000000000000000e+01	9.3	ok	0
symmetry-xeon6148	gmp	theta1	104	up_t16	16	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	33f968827a10dca7	2	2.54	2.501444	43	pdOPT	2.3000000000000000e+01	9.3	ok	0
