machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
thanos-epyc7232p	gmp	8_min	19	fork_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	1	0.76	0.751695	52	pdOPT	-5.3812637297885203e-01	11.7	ok	0
thanos-epyc7232p	gmp	8_min	19	fork_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	2	0.76	0.749481	52	pdOPT	-5.3812637297885203e-01	11.6	ok	0
thanos-epyc7232p	gmp	8_min	19	fork_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	3	0.78	0.770359	52	pdOPT	-5.3812637297885203e-01	11.6	ok	0
thanos-epyc7232p	gmp	8_min	19	up_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	1	0.73	0.726351	52	pdOPT	-5.3812637297885203e-01	11.7	ok	0
thanos-epyc7232p	gmp	8_min	19	up_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	2	0.73	0.718075	52	pdOPT	-5.3812637297885203e-01	11.6	ok	0
thanos-epyc7232p	gmp	8_min	19	up_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	3	0.73	0.721700	52	pdOPT	-5.3812637297885203e-01	11.6	ok	0
thanos-epyc7232p	gmp	10_min	74	fork_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	1	18.66	18.497034	61	pdOPT	-4.7926054387208136e-01	13.4	ok	0
thanos-epyc7232p	gmp	10_min	74	fork_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	2	18.77	18.602511	61	pdOPT	-4.7926054387208136e-01	13.5	ok	0
thanos-epyc7232p	gmp	10_min	74	fork_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	3	18.73	18.566343	61	pdOPT	-4.7926054387208136e-01	13.6	ok	0
thanos-epyc7232p	gmp	10_min	74	up_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	1	26.14	26.015347	61	pdOPT	-4.7926054387208136e-01	12.8	ok	0
thanos-epyc7232p	gmp	10_min	74	up_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	2	26.25	26.121319	61	pdOPT	-4.7926054387208136e-01	12.8	ok	0
thanos-epyc7232p	gmp	10_min	74	up_t4	4	0,1,2,3	e3e82d8dfcd9b7c3	3	26.22	26.090387	61	pdOPT	-4.7926054387208136e-01	13.0	ok	0
