machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	rc
thanos-epyc7232p	gmp	control1	21	fork_t1	1	0	33f968827a10dca7	1	0.40	0.392123	46	pdOPT	1.7784626717523405e+01	11.6	ok	0
thanos-epyc7232p	gmp	control1	21	fork_t1	1	0	33f968827a10dca7	2	0.40	0.388635	46	pdOPT	1.7784626717523405e+01	11.5	ok	0
thanos-epyc7232p	gmp	control1	21	fork_t1	1	0	33f968827a10dca7	3	0.39	0.384509	46	pdOPT	1.7784626717523405e+01	11.6	ok	0
thanos-epyc7232p	gmp	control1	21	up_t1	1	0	33f968827a10dca7	1	0.29	0.284431	46	pdOPT	1.7784626717523405e+01	11.7	ok	0
thanos-epyc7232p	gmp	control1	21	up_t1	1	0	33f968827a10dca7	2	0.25	0.239898	46	pdOPT	1.7784626717523405e+01	11.5	ok	0
thanos-epyc7232p	gmp	control1	21	up_t1	1	0	33f968827a10dca7	3	0.24	0.235752	46	pdOPT	1.7784626717523405e+01	11.6	ok	0
thanos-epyc7232p	gmp	theta1	104	fork_t1	1	0	33f968827a10dca7	1	3.02	3.003428	43	pdOPT	2.3000000000000000e+01	11.6	ok	0
thanos-epyc7232p	gmp	theta1	104	fork_t1	1	0	33f968827a10dca7	2	3.04	3.023367	43	pdOPT	2.3000000000000000e+01	11.6	ok	0
thanos-epyc7232p	gmp	theta1	104	fork_t1	1	0	33f968827a10dca7	3	3.02	3.002530	43	pdOPT	2.3000000000000000e+01	11.7	ok	0
thanos-epyc7232p	gmp	theta1	104	up_t1	1	0	33f968827a10dca7	1	3.81	3.791452	43	pdOPT	2.3000000000000000e+01	11.6	ok	0
thanos-epyc7232p	gmp	theta1	104	up_t1	1	0	33f968827a10dca7	2	3.87	3.853529	43	pdOPT	2.3000000000000000e+01	11.8	ok	0
thanos-epyc7232p	gmp	theta1	104	up_t1	1	0	33f968827a10dca7	3	3.83	3.815241	43	pdOPT	2.3000000000000000e+01	11.8	ok	0
thanos-epyc7232p	gmp	gpp100	101	fork_t1	1	0	33f968827a10dca7	1	37.63	37.586446	61	pFEAS	-4.4943550775891146e+01	16.8	partial	3
thanos-epyc7232p	gmp	gpp100	101	fork_t1	1	0	33f968827a10dca7	2	37.92	37.873900	61	pFEAS	-4.4943550775891146e+01	16.6	partial	3
thanos-epyc7232p	gmp	gpp100	101	fork_t1	1	0	33f968827a10dca7	3	38.35	38.308478	61	pFEAS	-4.4943550775891146e+01	16.9	partial	3
thanos-epyc7232p	gmp	gpp100	101	up_t1	1	0	33f968827a10dca7	1	44.06	44.012436	61	pFEAS	-4.4943550775891146e+01	17.4	ok	0
thanos-epyc7232p	gmp	gpp100	101	up_t1	1	0	33f968827a10dca7	2	44.43	44.380987	61	pFEAS	-4.4943550775891146e+01	17.5	ok	0
thanos-epyc7232p	gmp	gpp100	101	up_t1	1	0	33f968827a10dca7	3	44.66	44.608429	61	pFEAS	-4.4943550775891146e+01	17.5	ok	0
thanos-epyc7232p	gmp	truss5	208	fork_t1	1	0	33f968827a10dca7	1	12.03	11.992175	48	pdOPT	-1.3263567797250604e+02	12.7	ok	0
thanos-epyc7232p	gmp	truss5	208	fork_t1	1	0	33f968827a10dca7	2	12.12	12.083691	48	pdOPT	-1.3263567797250604e+02	12.7	ok	0
thanos-epyc7232p	gmp	truss5	208	fork_t1	1	0	33f968827a10dca7	3	12.25	12.213920	48	pdOPT	-1.3263567797250604e+02	12.6	ok	0
thanos-epyc7232p	gmp	truss5	208	up_t1	1	0	33f968827a10dca7	1	13.74	13.700618	48	pdOPT	-1.3263567797250604e+02	12.7	ok	0
thanos-epyc7232p	gmp	truss5	208	up_t1	1	0	33f968827a10dca7	2	13.69	13.658450	48	pdOPT	-1.3263567797250604e+02	12.8	ok	0
thanos-epyc7232p	gmp	truss5	208	up_t1	1	0	33f968827a10dca7	3	13.69	13.650641	48	pdOPT	-1.3263567797250604e+02	12.7	ok	0
thanos-epyc7232p	gmp	arch0	174	fork_t1	1	0	33f968827a10dca7	1	135.65	135.558002	53	pdOPT	5.6651727321592959e-01	34.1	ok	0
thanos-epyc7232p	gmp	arch0	174	fork_t1	1	0	33f968827a10dca7	2	136.10	136.014192	53	pdOPT	5.6651727321592959e-01	33.9	ok	0
thanos-epyc7232p	gmp	arch0	174	fork_t1	1	0	33f968827a10dca7	3	135.26	135.168531	53	pdOPT	5.6651727321592959e-01	34.1	ok	0
thanos-epyc7232p	gmp	arch0	174	up_t1	1	0	33f968827a10dca7	1	158.20	158.103383	53	pdOPT	5.6651727321592959e-01	36.3	ok	0
thanos-epyc7232p	gmp	arch0	174	up_t1	1	0	33f968827a10dca7	2	158.23	158.132385	53	pdOPT	5.6651727321592959e-01	35.8	ok	0
thanos-epyc7232p	gmp	arch0	174	up_t1	1	0	33f968827a10dca7	3	156.63	156.535575	53	pdOPT	5.6651727321592959e-01	36.5	ok	0
