machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	obj	peak_rss_MB	status
mac-m1max	gmp-200bit	control1	21	pristine1	1	-	0abc064f632dd6ff	1	0.20	0.176364	46	1.7784626717523405e+01	8.6	ok
mac-m1max	gmp-200bit	control1	21	pristine1	1	-	0abc064f632dd6ff	2	0.20	0.176848	46	1.7784626717523405e+01	8.6	ok
mac-m1max	gmp-200bit	control1	21	pristine1	1	-	0abc064f632dd6ff	3	0.19	0.176165	46	1.7784626717523405e+01	8.6	ok
mac-m1max	gmp-200bit	control1	21	pristine8	8	-	0abc064f632dd6ff	1	0.33	0.307507	46	1.7784626717523405e+01	8.6	ok
mac-m1max	gmp-200bit	control1	21	pristine8	8	-	0abc064f632dd6ff	2	0.33	0.308955	46	1.7784626717523405e+01	8.6	ok
mac-m1max	gmp-200bit	control1	21	pristine8	8	-	0abc064f632dd6ff	3	0.33	0.307548	46	1.7784626717523405e+01	8.6	ok
mac-m1max	gmp-200bit	control1	21	fork1	1	-	0abc064f632dd6ff	1	0.20	0.174468	46	1.7784626717523405e+01	8.6	ok
mac-m1max	gmp-200bit	control1	21	fork1	1	-	0abc064f632dd6ff	2	0.20	0.177641	46	1.7784626717523405e+01	8.6	ok
mac-m1max	gmp-200bit	control1	21	fork1	1	-	0abc064f632dd6ff	3	0.20	0.176270	46	1.7784626717523405e+01	8.6	ok
mac-m1max	gmp-200bit	control1	21	fork8	8	-	0abc064f632dd6ff	1	0.19	0.174958	46	1.7784626717523405e+01	8.6	ok
mac-m1max	gmp-200bit	control1	21	fork8	8	-	0abc064f632dd6ff	2	0.21	0.182036	46	1.7784626717523405e+01	8.6	ok
mac-m1max	gmp-200bit	control1	21	fork8	8	-	0abc064f632dd6ff	3	0.21	0.177830	46	1.7784626717523405e+01	8.6	ok
mac-m1max	gmp-200bit	theta1	104	pristine1	1	-	0abc064f632dd6ff	1	2.95	2.925833	43	2.3000000000000000e+01	8.6	ok
mac-m1max	gmp-200bit	theta1	104	pristine1	1	-	0abc064f632dd6ff	2	2.93	2.897814	43	2.3000000000000000e+01	8.6	ok
mac-m1max	gmp-200bit	theta1	104	pristine1	1	-	0abc064f632dd6ff	3	2.94	2.913856	43	2.3000000000000000e+01	8.6	ok
mac-m1max	gmp-200bit	theta1	104	pristine8	8	-	0abc064f632dd6ff	1	2.11	2.077921	43	2.3000000000000000e+01	8.6	ok
mac-m1max	gmp-200bit	theta1	104	pristine8	8	-	0abc064f632dd6ff	2	2.16	2.122624	43	2.3000000000000000e+01	8.6	ok
mac-m1max	gmp-200bit	theta1	104	pristine8	8	-	0abc064f632dd6ff	3	2.11	2.083268	43	2.3000000000000000e+01	8.6	ok
mac-m1max	gmp-200bit	theta1	104	fork1	1	-	0abc064f632dd6ff	1	2.82	2.794055	43	2.3000000000000000e+01	8.6	ok
mac-m1max	gmp-200bit	theta1	104	fork1	1	-	0abc064f632dd6ff	2	2.84	2.812873	43	2.3000000000000000e+01	8.6	ok
mac-m1max	gmp-200bit	theta1	104	fork1	1	-	0abc064f632dd6ff	3	2.90	2.874190	43	2.3000000000000000e+01	8.6	ok
mac-m1max	gmp-200bit	theta1	104	fork8	8	-	0abc064f632dd6ff	1	2.00	1.978534	43	2.3000000000000000e+01	8.6	ok
mac-m1max	gmp-200bit	theta1	104	fork8	8	-	0abc064f632dd6ff	2	2.03	2.003769	43	2.3000000000000000e+01	8.6	ok
mac-m1max	gmp-200bit	theta1	104	fork8	8	-	0abc064f632dd6ff	3	1.99	1.961994	43	2.3000000000000000e+01	8.6	ok
mac-m1max	gmp-200bit	truss5	208	pristine1	1	-	0abc064f632dd6ff	1	10.99	10.950810	48	-1.3263567797250604e+02	11.9	ok
mac-m1max	gmp-200bit	truss5	208	pristine1	1	-	0abc064f632dd6ff	2	10.98	10.937237	48	-1.3263567797250604e+02	11.9	ok
mac-m1max	gmp-200bit	truss5	208	pristine1	1	-	0abc064f632dd6ff	3	10.95	10.906810	48	-1.3263567797250604e+02	12.0	ok
mac-m1max	gmp-200bit	truss5	208	pristine8	8	-	0abc064f632dd6ff	1	11.97	11.933523	48	-1.3263567797250604e+02	12.0	ok
mac-m1max	gmp-200bit	truss5	208	pristine8	8	-	0abc064f632dd6ff	2	11.88	11.836389	48	-1.3263567797250604e+02	12.1	ok
mac-m1max	gmp-200bit	truss5	208	pristine8	8	-	0abc064f632dd6ff	3	11.89	11.847899	48	-1.3263567797250604e+02	12.0	ok
mac-m1max	gmp-200bit	truss5	208	fork1	1	-	0abc064f632dd6ff	1	11.01	10.970122	48	-1.3263567797250604e+02	11.9	ok
mac-m1max	gmp-200bit	truss5	208	fork1	1	-	0abc064f632dd6ff	2	10.92	10.885632	48	-1.3263567797250604e+02	11.9	ok
mac-m1max	gmp-200bit	truss5	208	fork1	1	-	0abc064f632dd6ff	3	11.01	10.971418	48	-1.3263567797250604e+02	12.0	ok
mac-m1max	gmp-200bit	truss5	208	fork8	8	-	0abc064f632dd6ff	1	8.51	8.465650	48	-1.3263567797250604e+02	12.2	ok
mac-m1max	gmp-200bit	truss5	208	fork8	8	-	0abc064f632dd6ff	2	8.35	8.307489	48	-1.3263567797250604e+02	12.2	ok
mac-m1max	gmp-200bit	truss5	208	fork8	8	-	0abc064f632dd6ff	3	8.49	8.443221	48	-1.3263567797250604e+02	12.2	ok
mac-m1max	gmp-200bit	gpp100	101	pristine1	1	-	0abc064f632dd6ff	1	34.29	34.234900	61	-4.4943550775891146e+01	14.3	ok
mac-m1max	gmp-200bit	gpp100	101	pristine1	1	-	0abc064f632dd6ff	2	34.25	34.194759	61	-4.4943550775891146e+01	14.3	ok
mac-m1max	gmp-200bit	gpp100	101	pristine1	1	-	0abc064f632dd6ff	3	33.92	33.867513	61	-4.4943550775891146e+01	14.3	ok
mac-m1max	gmp-200bit	gpp100	101	pristine8	8	-	0abc064f632dd6ff	1	13.45	13.400621	61	-4.4943550775891146e+01	14.4	ok
mac-m1max	gmp-200bit	gpp100	101	pristine8	8	-	0abc064f632dd6ff	2	13.30	13.253554	61	-4.4943550775891146e+01	14.4	ok
mac-m1max	gmp-200bit	gpp100	101	pristine8	8	-	0abc064f632dd6ff	3	13.29	13.241347	61	-4.4943550775891146e+01	14.4	ok
mac-m1max	gmp-200bit	gpp100	101	fork1	1	-	0abc064f632dd6ff	1	33.98	33.929515	61	-4.4943550775891146e+01	14.3	ok
