machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	obj	peak_rss_MB	status
pi-i9-13900k	gmp-200bit	control1	21	pristine1	1	0	0abc064f632dd6ff	1	0.1	0.100573	46	1.7784626717523405e+01	5.2	ok
pi-i9-13900k	gmp-200bit	control1	21	pristine1	1	0	0abc064f632dd6ff	2	0.1	0.100492	46	1.7784626717523405e+01	5.1	ok
pi-i9-13900k	gmp-200bit	control1	21	pristine1	1	0	0abc064f632dd6ff	3	0.1	0.100503	46	1.7784626717523405e+01	5.2	ok
pi-i9-13900k	gmp-200bit	control1	21	pristine24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	1	0.11	0.116831	46	1.7784626717523405e+01	5.2	ok
pi-i9-13900k	gmp-200bit	control1	21	pristine24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	2	0.11	0.114316	46	1.7784626717523405e+01	5.1	ok
pi-i9-13900k	gmp-200bit	control1	21	pristine24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	3	0.11	0.114591	46	1.7784626717523405e+01	5.2	ok
pi-i9-13900k	gmp-200bit	control1	21	fork1	1	0	0abc064f632dd6ff	1	0.1	0.099575	46	1.7784626717523405e+01	5.1	ok
pi-i9-13900k	gmp-200bit	control1	21	fork1	1	0	0abc064f632dd6ff	2	0.1	0.099380	46	1.7784626717523405e+01	5.2	ok
pi-i9-13900k	gmp-200bit	control1	21	fork1	1	0	0abc064f632dd6ff	3	0.1	0.099408	46	1.7784626717523405e+01	5.1	ok
pi-i9-13900k	gmp-200bit	control1	21	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	0.1	0.099424	46	1.7784626717523405e+01	5.2	ok
pi-i9-13900k	gmp-200bit	control1	21	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	0.1	0.099473	46	1.7784626717523405e+01	4.9	ok
pi-i9-13900k	gmp-200bit	control1	21	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	3	0.1	0.099346	46	1.7784626717523405e+01	5.2	ok
pi-i9-13900k	gmp-200bit	control1	21	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	1	0.1	0.099436	46	1.7784626717523405e+01	5.2	ok
pi-i9-13900k	gmp-200bit	control1	21	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	2	0.1	0.099567	46	1.7784626717523405e+01	4.9	ok
pi-i9-13900k	gmp-200bit	control1	21	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	3	0.1	0.099637	46	1.7784626717523405e+01	5.1	ok
pi-i9-13900k	gmp-200bit	theta1	104	pristine1	1	0	0abc064f632dd6ff	1	1.57	1.574769	43	2.3000000000000000e+01	9.3	ok
pi-i9-13900k	gmp-200bit	theta1	104	pristine1	1	0	0abc064f632dd6ff	2	1.58	1.575826	43	2.3000000000000000e+01	9.2	ok
pi-i9-13900k	gmp-200bit	theta1	104	pristine1	1	0	0abc064f632dd6ff	3	1.58	1.577365	43	2.3000000000000000e+01	9.2	ok
pi-i9-13900k	gmp-200bit	theta1	104	pristine24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	1	1.06	1.058535	43	2.3000000000000000e+01	8.9	ok
pi-i9-13900k	gmp-200bit	theta1	104	pristine24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	2	1.06	1.058181	43	2.3000000000000000e+01	9.0	ok
pi-i9-13900k	gmp-200bit	theta1	104	pristine24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	3	1.06	1.060490	43	2.3000000000000000e+01	8.4	ok
