machine	backend	problem	m	config	threads	cpuset	repeat	wall_s	mainloop_s	iters	obj	peak_rss_MB	status
thanos-epyc7232p	gmp-200bit	control1	21	pristine1	1	0	1	0.43	0.421530	46	1.7784626717523405e+01	11.8	ok
thanos-epyc7232p	gmp-200bit	control1	21	pristine1	1	0	2	0.44	0.431586	46	1.7784626717523405e+01	11.7	ok
thanos-epyc7232p	gmp-200bit	control1	21	pristine1	1	0	3	0.43	0.418007	46	1.7784626717523405e+01	11.7	ok
thanos-epyc7232p	gmp-200bit	control1	21	pristine8	8	0-7	1	0.37	0.360126	46	1.7784626717523405e+01	11.6	ok
thanos-epyc7232p	gmp-200bit	control1	21	pristine8	8	0-7	2	0.34	0.338086	46	1.7784626717523405e+01	11.8	ok
thanos-epyc7232p	gmp-200bit	control1	21	pristine8	8	0-7	3	0.29	0.282820	46	1.7784626717523405e+01	11.6	ok
thanos-epyc7232p	gmp-200bit	control1	21	hardened1	1	0	1	0.25	0.243048	46	1.7784626717523405e+01	11.8	ok
thanos-epyc7232p	gmp-200bit	control1	21	hardened1	1	0	2	0.24	0.235627	46	1.7784626717523405e+01	11.6	ok
thanos-epyc7232p	gmp-200bit	control1	21	hardened1	1	0	3	0.23	0.230083	46	1.7784626717523405e+01	11.8	ok
thanos-epyc7232p	gmp-200bit	control1	21	hardened4	4	0-3	1	0.24	0.237065	46	1.7784626717523405e+01	11.6	ok
thanos-epyc7232p	gmp-200bit	control1	21	hardened4	4	0-3	2	0.25	0.240283	46	1.7784626717523405e+01	11.4	ok
thanos-epyc7232p	gmp-200bit	control1	21	hardened4	4	0-3	3	0.24	0.230970	46	1.7784626717523405e+01	11.6	ok
thanos-epyc7232p	gmp-200bit	control1	21	hardened8	8	0-7	1	0.24	0.236653	46	1.7784626717523405e+01	11.6	ok
thanos-epyc7232p	gmp-200bit	control1	21	hardened8	8	0-7	2	0.24	0.230622	46	1.7784626717523405e+01	11.8	ok
thanos-epyc7232p	gmp-200bit	control1	21	hardened8	8	0-7	3	0.24	0.233454	46	1.7784626717523405e+01	11.7	ok
thanos-epyc7232p	gmp-200bit	theta1	104	pristine1	1	0	1	3.89	3.870510	43	2.3000000000000000e+01	11.8	ok
thanos-epyc7232p	gmp-200bit	theta1	104	pristine1	1	0	2	3.92	3.904532	43	2.3000000000000000e+01	11.7	ok
thanos-epyc7232p	gmp-200bit	theta1	104	pristine1	1	0	3	3.93	3.912137	43	2.3000000000000000e+01	11.7	ok
thanos-epyc7232p	gmp-200bit	theta1	104	pristine8	8	0-7	1	2.97	2.949853	43	2.3000000000000000e+01	11.6	ok
thanos-epyc7232p	gmp-200bit	theta1	104	pristine8	8	0-7	2	2.94	2.925215	43	2.3000000000000000e+01	11.7	ok
thanos-epyc7232p	gmp-200bit	theta1	104	pristine8	8	0-7	3	3.01	2.993500	43	2.3000000000000000e+01	11.7	ok
